activity_group_name	VerwerkingsMethode	amount
C INDUSTRIE	B05 Overig inzetten als grondstof	113,48
C INDUSTRIE	B05 Overig inzetten als grondstof	109,9
C INDUSTRIE	B05 Overig inzetten als grondstof	195,18
C INDUSTRIE	B05 Overig inzetten als grondstof	189,22
C INDUSTRIE	B05 Overig inzetten als grondstof	202,16
C INDUSTRIE	B05 Overig inzetten als grondstof	165,12
C INDUSTRIE	B05 Overig inzetten als grondstof	176
C INDUSTRIE	B05 Overig inzetten als grondstof	156,56
C INDUSTRIE	B05 Overig inzetten als grondstof	172,67
C INDUSTRIE	B05 Overig inzetten als grondstof	392,92
C INDUSTRIE	B05 Overig inzetten als grondstof	568,08
C INDUSTRIE	B05 Overig inzetten als grondstof	617,78
C INDUSTRIE	B05 Overig inzetten als grondstof	524,94
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	42,84
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	40,96
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	108,14
F BOUWNIJVERHEID 	B05 Overig inzetten als grondstof	7,96
F BOUWNIJVERHEID 	B05 Overig inzetten als grondstof	6,32
F BOUWNIJVERHEID 	B03 Inzetten als bouwstof	7
F BOUWNIJVERHEID 	B03 Inzetten als bouwstof	6,32
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	17,36
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	5,16
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	697.485
C INDUSTRIE	C03 Sorteren / scheiden	25,86
C INDUSTRIE	C03 Sorteren / scheiden	80,54
C INDUSTRIE	C03 Sorteren / scheiden	132,82
C INDUSTRIE	C03 Sorteren / scheiden	132,9
C INDUSTRIE	C03 Sorteren / scheiden	95
C INDUSTRIE	C03 Sorteren / scheiden	136,32
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	40,54
F BOUWNIJVERHEID 	E03 Composteren, aeroob	0,22
R KUNST, AMUSEMENT EN RECREATIE 	E03 Composteren, aeroob	5,66
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	54,68
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	73,12
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	307,42
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	64,36
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	19,36
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	E03 Composteren, aeroob	6,12
H VERVOER EN OPSLAG 	E03 Composteren, aeroob	36,7
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	465,88
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	676,02
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	207,48
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	19,4
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	705,16
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	3,12
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	0,62
P ONDERWIJS 	A02 Overslag / opbulken	2,92
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	25,06
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	0,94
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	E03 Composteren, aeroob	3,54
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	E03 Composteren, aeroob	12,66
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	E03 Composteren, aeroob	8,28
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	1,72
H VERVOER EN OPSLAG 	E03 Composteren, aeroob	5,58
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	86,58
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	464,56
F BOUWNIJVERHEID 	E03 Composteren, aeroob	27,4
F BOUWNIJVERHEID 	E03 Composteren, aeroob	11,3
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	62,46
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	E03 Composteren, aeroob	0,78
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	E03 Composteren, aeroob	12,88
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	E03 Composteren, aeroob	16,18
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	E03 Composteren, aeroob	2,78
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	E03 Composteren, aeroob	0,34
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	E03 Composteren, aeroob	1,38
H VERVOER EN OPSLAG 	E03 Composteren, aeroob	83,58
H VERVOER EN OPSLAG 	E03 Composteren, aeroob	25,34
H VERVOER EN OPSLAG 	E03 Composteren, aeroob	11,42
A LANDBOUW, BOSBOUW EN VISSERIJ	E03 Composteren, aeroob	2,28
A LANDBOUW, BOSBOUW EN VISSERIJ	E03 Composteren, aeroob	17,36
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	9,04
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	E03 Composteren, aeroob	874,79
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	E03 Composteren, aeroob	2069,68
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	10,38
A LANDBOUW, BOSBOUW EN VISSERIJ	E03 Composteren, aeroob	24,4
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	13,06
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	E03 Composteren, aeroob	28,3
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	4,74
